City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,karratha,-20.7377,116.8463,33.16,59,95,7.84,AU,1734404905
1,yellowknife,62.456,-114.3525,-23.58,76,100,2.68,CA,1734404906
2,cabo san lucas,22.8909,-109.9124,22.09,82,0,0.0,MX,1734404907
3,hermanus,-34.4187,19.2345,14.33,71,42,3.32,ZA,1734404908
4,port-vila,-17.7338,168.3219,27.82,75,98,2.74,VU,1734404909
5,margaret river,-33.95,115.0667,24.9,42,0,2.51,AU,1734404726
6,aswan,24.0934,32.907,15.61,55,0,3.09,EG,1734404454
7,ust-nera,64.5667,143.2,-30.85,97,61,0.99,RU,1734404913
8,constantia,44.1833,28.65,5.39,74,16,7.54,RO,1734404892
9,iqaluit,63.7506,-68.5145,-17.15,71,100,1.54,CA,1734404915
10,adamstown,-25.066,-130.1015,22.23,69,8,6.59,PN,1734404916
11,okhotsk,59.3833,143.3,-16.17,77,81,8.92,RU,1734404918
12,al jubayl,27.0112,49.6583,12.5,44,23,6.73,SA,1734404919
13,amurzet,47.6967,131.0981,-18.19,75,6,4.07,RU,1734404920
14,weno,7.4515,151.8468,29.97,74,40,4.63,FM,1734404921
15,ushuaia,-54.8,-68.3,9.81,81,0,1.54,AR,1734404370
16,port moresby,-9.4431,147.1797,26.24,88,100,4.42,PG,1734404923
17,waitangi,-43.9535,-176.5597,14.9,88,100,2.68,NZ,1734404925
18,edinburgh of the seven seas,-37.0676,-12.3116,15.06,83,100,5.06,SH,1734404926
19,kapuskasing,49.4169,-82.4331,2.05,100,100,4.12,CA,1734404927
20,grytviken,-54.2811,-36.5092,1.08,93,34,5.47,GS,1734404928
21,jamestown,42.097,-79.2353,8.34,100,100,3.13,US,1734404678
22,blackmans bay,-43.0167,147.3167,19.29,54,4,1.34,AU,1734404930
23,songling,31.1933,120.7176,10.71,35,0,0.47,CN,1734404932
24,iskateley,67.6803,53.1512,-23.76,94,30,3.12,RU,1734404933
25,bria,6.5423,21.9863,20.63,38,68,1.98,CF,1734404934
26,badger,64.8,-147.5333,-15.05,78,40,2.57,US,1734404935
27,monteagudo,-19.8167,-63.9833,18.81,60,53,1.4,BO,1734404936
28,tamiahua,21.2667,-97.45,22.3,87,99,2.27,MX,1734404937
29,east london,-33.0153,27.9116,18.59,94,100,4.71,ZA,1734404938
30,avarua,-21.2078,-159.775,26.03,89,75,3.6,CK,1734404940
31,alice springs,-23.7,133.8833,35.75,28,21,8.75,AU,1734404941
32,marsh harbour,26.5412,-77.0636,24.5,80,3,11.12,BS,1734404942
33,kruisfontein,-34.0033,24.7314,15.38,72,100,2.74,ZA,1734404943
34,aasiaat,68.7098,-52.8699,-15.53,87,100,5.09,GL,1734404944
